dl.smv	dl.lola		dl.mcm	dl.clp			dl.smod			dl.cnmc					
needed	stat	time	needed	gen	solve	time	gen	solve	needed	gen	solve	sym	asym	dis	input
?	0	0.010	1.90	0.000	0.000	0.000	0.144	0.284	0.428	0.85	0.0	0.03	0.1	0.13	test/nets/plain/med/q_1
?	0	0.010	0.60	0.000	0.000	0.010	0.080	0.004	0.084	1.0	0.77	0.02	0.1	0.15	test/nets/plain/med/q_1.fsa
?	0	0.020	0.64	0.000	0.000	0.000	0.008	0.028	0.036	0.24	0.18	0.0	0.02	0.03	test/nets/plain/med/rw_1w2r
?	0	4.740	34.04	0.000	0.060	0.060	0.132	2.000	2.132	0.85	0.0	0.03	0.1	0.16	test/nets/plain/med/rw_2w1r
?	0	7.120	34.08	0.000	0.060	0.070	0.132	1.756	1.888	0.84	2.46	0.02	0.1	0.15	test/nets/plain/med/rw_2w1r.sync
2.440	0	0.000	0.10	0.000	0.000	0.000	0.020	0.188	0.208	0.33	0.08	0.0	0.02	0.02	test/nets/plain/med/speed_1.fsa
0.500	0	0.000	0.34	0.000	0.000	0.000	0.000	0.004	0.004	0.13	0.02	0.0	0.0	0.01	test/nets/plain/small/ab_gesc
0.060	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/abp_1.fsa
?	error	error	?	0.000	0.000	0.000	0.004	0.008	0.012	0.15	0.0	0.0	0.01	0.01	test/nets/plain/small/byzagr4_0b
?	error	error	?	0.000	0.000	0.000	0.004	0.008	0.012	0.15	0.04	0.0	0.01	0.01	test/nets/plain/small/byzagr4_0b.sync
?	0	0.020	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.01	0.0	test/nets/plain/small/byzagr4_2a
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/byzagr4_2a.sync
?	killed	killed	0.26	0.000	0.000	0.000	0.004	0.012	0.016	0.16	0.0	0.01	0.0	0.01	test/nets/plain/small/cottbus_plate_5
?	killed	killed	0.48	0.000	0.000	0.000	0.008	0.012	0.020	0.17	0.0	0.0	0.01	0.02	test/nets/plain/small/cottbus_plate_5.sync
0.820	0	0.010	1.30	0.000	0.000	0.000	0.008	0.012	0.020	0.14	0.04	0.0	0.01	0.01	test/nets/plain/small/dijkstra_2
3.760	0	0.010	2.08	0.000	0.000	0.000	0.004	0.020	0.024	0.15	0.0	0.01	0.0	0.01	test/nets/plain/small/dijkstra_2.sync
?	0	0.000	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.1	0.0	0.0	0.01	0.0	test/nets/plain/small/dme2
?	0	0.040	0.00	0.000	0.000	0.000	0.004	0.016	0.020	0.13	0.0	0.0	0.0	0.01	test/nets/plain/small/dme3
?	0	0.400	0.02	0.000	0.000	0.000	0.008	0.064	0.072	0.18	0.0	0.01	0.0	0.02	test/nets/plain/small/dme4
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/do_od
9.120	0	0.040	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.13	0.0	0.01	0.0	0.01	test/nets/plain/small/eisenbahn
13.800	0	0.110	0.02	0.000	0.000	0.000	0.012	0.000	0.012	0.15	0.02	0.0	0.01	0.0	test/nets/plain/small/eisenbahn.sync
0.620	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.01	0.0	0.0	0.01	test/nets/plain/small/elevator
0.160	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/elevator_1
0.160	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/elevator_1.fsa
14.200	0	0.010	0.00	0.000	0.000	0.000	0.008	0.004	0.012	0.16	0.0	0.0	0.01	0.0	test/nets/plain/small/elevator_2
13.960	0	0.010	0.00	0.000	0.000	0.000	0.008	0.004	0.012	0.16	0.01	0.0	0.01	0.0	test/nets/plain/small/elevator_2.fsa
0.040	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.01	test/nets/plain/small/furnace_1.fsa
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/gas_station
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.008	0.012	0.16	0.0	0.0	0.01	0.01	test/nets/plain/small/key_2
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.008	0.012	0.15	0.02	0.0	0.01	0.0	test/nets/plain/small/key_2.fsa
0.100	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/mmgt_1.fsa
0.680	0	0.000	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.15	0.01	0.0	0.01	0.01	test/nets/plain/small/mmgt_2.fsa
58.480	0	0.000	0.06	0.000	0.000	0.000	0.008	0.004	0.012	0.12	0.01	0.0	0.01	0.01	test/nets/plain/small/mutual
0.040	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.09	0.0	na	na	na	test/nets/plain/small/only_hl
?	0	0.020	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.12	0.0	0.0	0.0	0.0	test/nets/plain/small/parrow
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/peterson
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/peterson_pfa
0.440	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/plain/small/reader_writer_2
