dl.smv		dl.lola		dl.mcm		dl.clp		dl.smod		dl.cnmc		
stat	result	stat	result	stat	result	stat	result	stat	result	stat	result	input
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/dijkstra_2
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/dijkstra_2.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/dme2
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/dme3
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/dme4
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/do_od
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/eisenbahn
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/eisenbahn.sync
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/elevator
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/elevator_1
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/elevator_1.fsa
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/elevator_2
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/elevator_2.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/furnace_1.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/gas_station
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/key_2
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/key_2.fsa
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/mmgt_1.fsa
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/mmgt_2.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/mutual
0	DEAD	0	DEAD	0	DEAD-EV	0	DEAD	0	DEAD-EV	0	DEAD-EV	test/nets/plain/small/only_hl
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/parrow
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/peterson
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/peterson_pfa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/reader_writer_2
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/recursion
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/rrr10-1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/rrr20-1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/rrr30-1.sync
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/rrr50-1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/rw_1w1r
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/rw_1w1r.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/sdl_arq
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/sdl_arq_deadlock
killed	?	0	DEAD	0	DEAD-EV	0	DEAD	0	DEAD-EV	0	DEAD-EV	test/nets/plain/small/sdl_example
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/sentest_100.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/sentest_25.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/sentest_50.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/sentest_75.fsa
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/stack_full
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/bds_1.sync
killed	?	killed	?	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/byzagr4_1b
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/dpd_7.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/large/elevator_4
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/large/elevator_4.dlmcs.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/large/elevator_4.fsa
killed	?	0	DEAD	10	?	2	?	2	?	0	DEAD	test/nets/pr/large/elevator_4.old
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/ftp_1.fsa
killed	?	killed	?	3	?	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/ftp_1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/furnace_3
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/furnace_3.fsa
killed	?	0	LIVE	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/large/furnace_4
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/large/key_3.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	killed	?	test/nets/pr/large/key_4
